,active,bill_id,bill_slug,bill_type,bill_uri,committee_codes,committees,congressdotgov_url,cosponsors,cosponsors_by_party.D,cosponsors_by_party.I,cosponsors_by_party.R,enacted,govtrack_url,gpo_pdf_uri,house_passage,introduced_date,last_vote,latest_major_action,latest_major_action_date,number,primary_subject,senate_passage,short_title,sponsor_id,sponsor_name,sponsor_party,sponsor_state,sponsor_title,sponsor_uri,subcommittee_codes,summary,summary_short,title,vetoed
0,True,sres743-115,sres743,sres,https://api.propublica.org/congress/v1/115/bills/sres743.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/743,3,2.0,,1.0,,https://www.govtrack.us/congress/bills/115/sres743,https://www.govinfo.gov/content/pkg/BILLS-115sres743ats/pdf/BILLS-115sres743ats.pdf,,2018-12-22,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S8036)",2018-12-22,S.RES.743,Emergency Management,,A resolution congratulating the International Association of Fire Fighters on the 100th anniversary of its founding.,C000141,Benjamin L. Cardin,D,MD,Sen.,https://api.propublica.org/congress/v1/members/C000141.json,[],,,A resolution congratulating the International Association of Fire Fighters on the 100th anniversary of its founding.,
2,True,sres742-115,sres742,sres,https://api.propublica.org/congress/v1/115/bills/sres742.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/742,1,,,1.0,,https://www.govtrack.us/congress/bills/115/sres742,https://www.govinfo.gov/content/pkg/BILLS-115sres742ats/pdf/BILLS-115sres742ats.pdf,,2018-12-22,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S8036)",2018-12-22,S.RES.742,Health,,"A resolution designating the first week of December 2018, and supporting the designation of each first week of December thereafter, as ""Cancer Screen Week"", identifying the burden of cancer in the United States, and encouraging people to talk with their h",J000300,Doug Jones,D,AL,Sen.,https://api.propublica.org/congress/v1/members/J000300.json,[],,,"A resolution designating the first week of December 2018, and supporting the designation of each first week of December thereafter, as ""Cancer Screen Week"", identifying the burden of cancer in the United States, and encouraging people to talk with their healthcare providers about appropriate screenings for the prevention and early detection of cancer.",
8,True,s3800-115,s3800,s,https://api.propublica.org/congress/v1/115/bills/s3800.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3800,0,,,,,https://www.govtrack.us/congress/bills/115/s3800,https://www.govinfo.gov/content/pkg/BILLS-115s3800cps/pdf/BILLS-115s3800cps.pdf,,2018-12-20,,Held at the desk.,2018-12-20,S.3800,Government Operations and Politics,,"A bill to designate the United States courthouse located at 351 South West Temple in Salt Lake City, Utah, as the ""Orrin G. Hatch United States Courthouse"".",M000355,Mitch McConnell,R,KY,Sen.,https://api.propublica.org/congress/v1/members/M000355.json,[],,,"A bill to designate the United States courthouse located at 351 South West Temple in Salt Lake City, Utah, as the ""Orrin G. Hatch United States Courthouse"".",
9,True,sres739-115,sres739,sres,https://api.propublica.org/congress/v1/115/bills/sres739.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/739,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres739,https://www.govinfo.gov/content/pkg/BILLS-115sres739ats/pdf/BILLS-115sres739ats.pdf,,2018-12-20,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S8002)",2018-12-20,S.RES.739,Sports and Recreation,,"A resolution congratulating the Maryland Terrapins men's soccer team of the University of Maryland, College Park for winning the 2018 National Collegiate Athletic Association Division I men's soccer national championship.",V000128,Chris Van Hollen,D,MD,Sen.,https://api.propublica.org/congress/v1/members/V000128.json,[],,,"A resolution congratulating the Maryland Terrapins men's soccer team of the University of Maryland, College Park for winning the 2018 National Collegiate Athletic Association Division I men's soccer national championship.",
16,True,sres737-115,sres737,sres,https://api.propublica.org/congress/v1/115/bills/sres737.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/737,2,1.0,,1.0,,https://www.govtrack.us/congress/bills/115/sres737,https://www.govinfo.gov/content/pkg/BILLS-115sres737ats/pdf/BILLS-115sres737ats.pdf,,2018-12-19,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7898; text: CR S7933)",2018-12-19,S.RES.737,Armed Forces and National Security,,A resolution recognizing the 75th anniversary of the establishment of the United States Cadet Nurse Corps and expressing the appreciation of the Senate for the contribution of the members of the United States Cadet Nurse Corps during World War II.,K000383,Angus King,I,ME,Sen.,https://api.propublica.org/congress/v1/members/K000383.json,[],,,A resolution recognizing the 75th anniversary of the establishment of the United States Cadet Nurse Corps and expressing the appreciation of the Senate for the contribution of the members of the United States Cadet Nurse Corps during World War II.,
19,True,s3777-115,s3777,s,https://api.propublica.org/congress/v1/115/bills/s3777.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3777,10,8.0,,2.0,,https://www.govtrack.us/congress/bills/115/s3777,https://www.govinfo.gov/content/pkg/BILLS-115s3777enr/pdf/BILLS-115s3777enr.pdf,2018-12-20,2018-12-18,2018-12-20,Presented to President.,2018-12-27,S.3777,,,Forever GI Bill Housing Payment Fulfillment Act of 2018,B001236,John Boozman,R,AR,Sen.,https://api.propublica.org/congress/v1/members/B001236.json,[],,,"A bill to require the Secretary of Veterans Affairs to establish a tiger team dedicated to addressing the difficulties encountered by the Department of Veterans Affairs in carrying out section 3313 of title 38, United States Code, after the enactment of sections 107 and 501 of the Harry W. Colmery Veterans Educational Assistance Act of 2017.",
18,True,sres731-115,sres731,sres,https://api.propublica.org/congress/v1/115/bills/sres731.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/731,10,5.0,,5.0,,https://www.govtrack.us/congress/bills/115/sres731,https://www.govinfo.gov/content/pkg/BILLS-115sres731ats/pdf/BILLS-115sres731ats.pdf,,2018-12-13,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7625; text: CR S7599)",2018-12-13,S.RES.731,International Affairs,,"A resolution designating December 10, 2018, as ""Human Rights Day"" and recognizing the 70th anniversary of the Universal Declaration of Human Rights.",C001088,Christopher A. Coons,D,DE,Sen.,https://api.propublica.org/congress/v1/members/C001088.json,[],,,"A resolution designating December 10, 2018, as ""Human Rights Day"" and recognizing the 70th anniversary of the Universal Declaration of Human Rights.",
7,True,s3749-115,s3749,s,https://api.propublica.org/congress/v1/115/bills/s3749.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3749,3,1.0,,2.0,,https://www.govtrack.us/congress/bills/115/s3749,https://www.govinfo.gov/content/pkg/BILLS-115s3749enr/pdf/BILLS-115s3749enr.pdf,2018-12-13,2018-12-13,,Signed by President.,2018-12-21,S.3749,Congress,,Congressional Accountability Act of 1995 Reform Act,K000367,Amy Klobuchar,D,MN,Sen.,https://api.propublica.org/congress/v1/members/K000367.json,[],,,"A bill to amend the Congressional Accountability Act of 1995 to reform the procedures provided under such Act for the initiation, review, and resolution of claims alleging that employing offices of the legislative branch have violated the rights and protections provided to their employees under such Act, including protections against sexual harassment, and for other purposes.",
17,True,sjres69-115,sjres69,sjres,https://api.propublica.org/congress/v1/115/bills/sjres69.json,[],,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/69,12,2.0,1.0,9.0,,https://www.govtrack.us/congress/bills/115/sjres69,https://www.govinfo.gov/content/pkg/BILLS-115sjres69es/pdf/BILLS-115sjres69es.pdf,,2018-12-13,,Held at the desk.,2018-12-19,S.J.RES.69,International Affairs,,A joint resolution supporting a Diplomatic Solution in Yemen and Condemning the Murder of Jamal Khashoggi.,C001071,Bob Corker,R,TN,Sen.,https://api.propublica.org/congress/v1/members/C001071.json,[],"This joint resolution expresses the Senate's belief that Saudi Arabia's Crown Prince Mohammed bin Salman is responsible for the murder of journalist Jamal Khashoggi. It criticizes Saudi Arabia's cooperation with, and military equipment purchases from, Russia and China as challenges to the country's long-term relationship with the United States.  The joint resolution calls for an immediate cease-fire in the civil war in Yemen and for the two sides to negotiate a peace agreement. It declares that there is no statutory authority for U.S. involvement in the conflict, including for providing in-air refueling to Saudi aircraft flying missions against the Houthi rebels. The resolution also condemns the Houthi rebels for human rights violations and the government of Iran for supplying them with weapons.  ","This joint resolution expresses the Senate&#39;s belief that Saudi Arabia&#39;s Crown Prince Mohammed bin Salman is responsible for the murder of journalist Jamal Khashoggi. It criticizes Saudi Arabia&#39;s cooperation with, and military equipment purchases from, Russia and China as challenges to the country&#39;s long-term relationship with the United States.  The joint resolution calls for an immediate cease-fire in the civil war in Yemen and for the two sides to negotiate a peace agreement. It declares th...",A joint resolution supporting a Diplomatic Solution in Yemen and Condemning the Murder of Jamal Khashoggi.,
18,True,s3747-115,s3747,s,https://api.propublica.org/congress/v1/115/bills/s3747.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3747,1,1.0,,,,https://www.govtrack.us/congress/bills/115/s3747,https://www.govinfo.gov/content/pkg/BILLS-115s3747pcs/pdf/BILLS-115s3747pcs.pdf,,2018-12-12,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 731.,2018-12-13,S.3747,Crime and Law Enforcement,,First Step Act of 2018,G000386,Charles E. Grassley,R,IA,Sen.,https://api.propublica.org/congress/v1/members/G000386.json,[],,,"A bill to provide for programs to help reduce the risk that prisoners will recidivate upon release from prison, and for other purposes.",
0,True,s3748-115,s3748,s,https://api.propublica.org/congress/v1/115/bills/s3748.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3748,1,1.0,,,,https://www.govtrack.us/congress/bills/115/s3748,https://www.govinfo.gov/content/pkg/BILLS-115s3748es/pdf/BILLS-115s3748es.pdf,,2018-12-12,,Held at the desk.,2018-12-13,S.3748,Congress,,Improving the Inspector General Process for Legislative Branch Instrumentalities Act,B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,"A bill to amend the removal and transfer procedures for the Inspectors General of the Library of Congress, the Office of the Architect of the Capitol, and the Government Publishing Office.",
6,True,sres723-115,sres723,sres,https://api.propublica.org/congress/v1/115/bills/sres723.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/723,1,,,1.0,,https://www.govtrack.us/congress/bills/115/sres723,https://www.govinfo.gov/content/pkg/BILLS-115sres723ats/pdf/BILLS-115sres723ats.pdf,,2018-12-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7453; text: CR S7437)",2018-12-11,S.RES.723,Health,,A resolution congratulating the American College of Emergency Physicians on its 50th anniversary.,R000122,Jack Reed,D,RI,Sen.,https://api.propublica.org/congress/v1/members/R000122.json,[],,,A resolution congratulating the American College of Emergency Physicians on its 50th anniversary.,
7,True,sres719-115,sres719,sres,https://api.propublica.org/congress/v1/115/bills/sres719.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/719,1,,1.0,,,https://www.govtrack.us/congress/bills/115/sres719,https://www.govinfo.gov/content/pkg/BILLS-115sres719ats/pdf/BILLS-115sres719ats.pdf,,2018-12-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7453; text: CR S7435-7436)",2018-12-11,S.RES.719,Armed Forces and National Security,,"A resolution designating December 15, 2018, as ""Wreaths Across America Day"".",C001035,Susan Collins,R,ME,Sen.,https://api.propublica.org/congress/v1/members/C001035.json,[],,,"A resolution designating December 15, 2018, as ""Wreaths Across America Day"".",
8,True,sres722-115,sres722,sres,https://api.propublica.org/congress/v1/115/bills/sres722.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/722,4,4.0,,,,https://www.govtrack.us/congress/bills/115/sres722,https://www.govinfo.gov/content/pkg/BILLS-115sres722ats/pdf/BILLS-115sres722ats.pdf,,2018-12-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7453; text: CR S7437)",2018-12-11,S.RES.722,Armed Forces and National Security,,"A resolution designating October 26, 2018, as ""Day of the Deployed"".",H001061,John Hoeven,R,ND,Sen.,https://api.propublica.org/congress/v1/members/H001061.json,[],,,"A resolution designating October 26, 2018, as ""Day of the Deployed"".",
9,True,sres720-115,sres720,sres,https://api.propublica.org/congress/v1/115/bills/sres720.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/720,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres720,https://www.govinfo.gov/content/pkg/BILLS-115sres720ats/pdf/BILLS-115sres720ats.pdf,,2018-12-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7453; text: CR S7436)",2018-12-11,S.RES.720,Crime and Law Enforcement,,"A resolution expressing the condolences of the Senate and honoring the memory of the victims of the shooting at Mercy Hospital and Medical Center in Chicago, Illinois, on November 19, 2018.",D000563,Richard J. Durbin,D,IL,Sen.,https://api.propublica.org/congress/v1/members/D000563.json,[],,,"A resolution expressing the condolences of the Senate and honoring the memory of the victims of the shooting at Mercy Hospital and Medical Center in Chicago, Illinois, on November 19, 2018.",
10,True,sres721-115,sres721,sres,https://api.propublica.org/congress/v1/115/bills/sres721.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/721,1,,,1.0,,https://www.govtrack.us/congress/bills/115/sres721,https://www.govinfo.gov/content/pkg/BILLS-115sres721ats/pdf/BILLS-115sres721ats.pdf,,2018-12-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7453; text: CR S7436-7437)",2018-12-11,S.RES.721,"Science, Technology, Communications",,"A resolution designating the week beginning on October 21, 2018, as ""National Chemistry Week"".",C001088,Christopher A. Coons,D,DE,Sen.,https://api.propublica.org/congress/v1/members/C001088.json,[],,,"A resolution designating the week beginning on October 21, 2018, as ""National Chemistry Week"".",
15,True,sres718-115,sres718,sres,https://api.propublica.org/congress/v1/115/bills/sres718.json,['SSRA'],Senate Rules and Administration Committee,https://www.congress.gov/bill/115th-congress/senate-resolution/718,5,2.0,,3.0,,https://www.govtrack.us/congress/bills/115/sres718,https://www.govinfo.gov/content/pkg/BILLS-115sres718is/pdf/BILLS-115sres718is.pdf,,2018-12-10,,Referred to the Committee on Rules and Administration. (text of measure as introduced: CR S7387),2018-12-10,S.RES.718,Congress,,A resolution establishing the John S. McCain III Human Rights Commission.,C001088,Christopher A. Coons,D,DE,Sen.,https://api.propublica.org/congress/v1/members/C001088.json,[],,,A resolution establishing the John S. McCain III Human Rights Commission.,
